smiles,TC,SA,SC,atom_count
*CC(*)C(=O)Oc1ccccc1C,0.1735,3.862772321,2.420155129,14
*CC(*)C(=O)Oc1cccc(C)c1,0.2055,3.88107475,2.421521772,14
*CC(*)C(=O)Oc1ccc(C)cc1,0.193,3.773133049,2.276064563,14
*CC(*)C(=O)Oc1ccccc1C(C)(C)C,0.175,3.824649653,2.466098715,17
*CC(*)C(=O)Oc1ccc(C(C)(C)C)cc1,0.2245,3.700988114,2.579222188,17
*CC(*)C(=O)Oc1ccc(OC)cc1,0.208,3.635129998,2.221102402,15
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,0.233,3.434725719,3.283367483,20
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,0.2055,3.221016117,3.035590574,19
*CC(*)C(=O)OCc1ccccc1,0.1985,3.626775373,2.045129653,14
*CC(*)C(=O)OCCc1ccccc1,0.196,3.626917508,2.449288245,15
